Year;Country;pais_iso;continente;ECI;ECI+
1966;Lebanon;lbn;as;0.201751;0.370313
1966;Sri Lanka;lka;as;-1.12994;-1.31334
1966;Burma;mmr;as;-1.03755;-1.3659
1966;Malaysia;mys;as;-0.702983;-0.146468
1966;Oman;omn;as;-0.880721;-0.033455
1966;Pakistan;pak;as;-0.302056;0.003332
1966;Philippines;phl;as;-0.598227;-0.689119
1966;Qatar;qat;as;-0.410999;-0.453679
1966;Saudi Arabia;sau;as;-0.831977;-0.904648
1966;Singapore;sgp;as;0.176202;0.414247
1966;Syria;syr;as;-0.201459;-0.051534
1966;Thailand;tha;as;-0.974265;-0.861308
1966;Turkey;tur;as;-0.715804;-0.632627
1966;Vietnam;vnm;as;-0.284037;0.086941
1966;Albania;alb;eu;0.001056;-0.106134
1966;Austria;aut;eu;1.99344;1.69556
1966;Belgium;bel;eu;1.58396;1.59227
1966;Bulgaria;bgr;eu;0.741352;0.626735
1966;Switzerland;che;eu;2.12901;1.83001
1966;Germany;deu;eu;2.26339;1.91272
1966;Denmark;dnk;eu;1.31681;1.30886
1966;Spain;esp;eu;0.603584;0.77248
1966;Finland;fin;eu;1.4211;1.25054
1966;France;fra;eu;1.73585;1.57366
1966;United Kingdom;gbr;eu;1.98672;1.75744
1966;Greece;grc;eu;0.232929;0.325049
1966;Hungary;hun;eu;1.23699;1.20265
1966;Ireland;irl;eu;1.01241;0.940806
1966;Italy;ita;eu;1.74434;1.56207
1966;Netherlands;nld;eu;1.33897;1.46187
1966;Norway;nor;eu;1.4278;1.13762
1966;Poland;pol;eu;1.08374;1.19794
1966;Portugal;prt;eu;0.851548;0.731594
1966;Romania;rou;eu;0.319795;0.543705
1966;Sweden;swe;eu;2.02008;1.66632
1966;Canada;can;na;0.769482;1.26984
1966;Costa Rica;cri;na;0.544684;0.483599
1966;Dominican Republic;dom;na;-0.666334;-0.809555
1966;Guatemala;gtm;na;0.121919;0.303228
1966;Honduras;hnd;na;-0.29557;-0.462301
1966;Jamaica;jam;na;-0.386714;-0.83524
1966;Mexico;mex;na;0.220775;0.39683
1966;Nicaragua;nic;na;-0.196804;-0.521521
1966;Panama;pan;na;0.931072;0.709908
1966;El Salvador;slv;na;0.336836;0.380317
1966;Trinidad and Tobago;tto;na;-0.279269;-0.452556
1966;United States;usa;na;1.73973;1.68233
1966;Australia;aus;oc;0.245572;0.839079
1966;New Zealand;nzl;oc;0.291451;0.427371
1966;Argentina;arg;sa;-0.186694;0.259695
1966;Bolivia;bol;sa;-0.781309;-1.59819
1966;Brazil;bra;sa;-0.867307;0.011304
1966;Chile;chl;sa;0.124412;0.095336
1966;Colombia;col;sa;0.116634;0.240068
1966;Ecuador;ecu;sa;-0.684339;-1.26722
1966;Peru;per;sa;-0.566836;-0.722407
1966;Paraguay;pry;sa;-0.706845;-0.898907
1966;Uruguay;ury;sa;0.305691;0.442767
1966;Venezuela;ven;sa;-0.253681;-0.583109
1967;Angola;ago;af;-1.03878;-0.864605
1967;Cote d'Ivoire;civ;af;-0.947142;-1.17268
1967;Cameroon;cmr;af;-0.972631;-0.871868
1967;Republic of the Congo;cog;af;-0.85448;-0.937673
1967;Algeria;dza;af;-0.326832;-0.269716
1967;Egypt;egy;af;-0.086774;0.208549
1967;Ethiopia;eth;af;-0.853689;-0.903175
1967;Gabon;gab;af;-1.45307;-2.09135
1967;Ghana;gha;af;-0.953906;-1.38509
1967;Guinea;gin;af;-1.0714;-1.62536
1967;Kenya;ken;af;-0.785431;-0.461807
1967;Morocco;mar;af;-0.34405;-0.32883
1967;Madagascar;mdg;af;-1.04663;-1.04163
1967;Mozambique;moz;af;-0.960654;-0.751842
1967;Mauritania;mrt;af;-1.15008;-1.40429
1967;Nigeria;nga;af;-1.50863;-1.26454
1967;Sudan;sdn;af;-1.36767;-1.4433
1967;Senegal;sen;af;-0.45705;-1.14229
1967;Togo;tgo;af;-0.982953;-1.7028
1967;Tunisia;tun;af;-0.299681;-0.346023
1967;Tanzania;tza;af;-1.29203;-1.27126
1967;South Africa;zaf;af;-0.283275;0.449834
1967;Zambia;zmb;af;-0.743592;-0.50859
1967;Zimbabwe;zwe;af;0.718401;0.696189
1967;China;chn;as;0.511791;0.628479
1967;Hong Kong;hkg;as;1.28684;1.16705
1967;Indonesia;idn;as;-1.12068;-0.812304
1967;India;ind;as;-0.103239;0.378816
1967;Iran;irn;as;-0.80783;-0.698988
1967;Israel;isr;as;0.647967;0.70647
1967;Jordan;jor;as;0.421167;0.155795
1967;Japan;jpn;as;1.85351;1.69705
1967;Cambodia;khm;as;-0.950048;-0.97389
1967;South Korea;kor;as;0.773875;0.592959
1967;Kuwait;kwt;as;-0.924902;-0.560381
1967;Lebanon;lbn;as;0.517729;0.529846
1967;Sri Lanka;lka;as;-1.05778;-1.23693
1967;Burma;mmr;as;-0.980183;-1.23292
1967;Malaysia;mys;as;-0.500469;-0.130921
1967;Oman;omn;as;-0.546423;-0.127461
1967;Pakistan;pak;as;-0.196449;0.074928
1967;Philippines;phl;as;-0.590185;-0.645242
1967;Qatar;qat;as;-1.56943;-0.823264
1967;Saudi Arabia;sau;as;-0.847359;-1.13659
1967;Singapore;sgp;as;0.23718;0.373943
1967;Syria;syr;as;-0.29768;-0.329304
1967;Thailand;tha;as;-1.02722;-0.827152
1967;Turkey;tur;as;-0.835135;-0.582526
1967;Vietnam;vnm;as;-0.216628;0.260185
1967;Albania;alb;eu;0.210635;0.151233
1967;Austria;aut;eu;2.0393;1.68331
1967;Belgium;bel;eu;1.58365;1.55106
1967;Bulgaria;bgr;eu;0.585614;0.634682
1967;Switzerland;che;eu;2.12217;1.8089
1967;Germany;deu;eu;2.28536;1.88399
1967;Denmark;dnk;eu;1.31177;1.28752
1967;Spain;esp;eu;0.643186;0.772989
1967;Finland;fin;eu;1.32294;1.3008
1967;France;fra;eu;1.7497;1.58954
1967;United Kingdom;gbr;eu;2.03884;1.71521
1967;Greece;grc;eu;0.133309;0.296413
1967;Hungary;hun;eu;1.20968;1.13026
1967;Ireland;irl;eu;1.06419;0.942722
1967;Italy;ita;eu;1.86891;1.58013
1967;Netherlands;nld;eu;1.33455;1.46163
1967;Norway;nor;eu;1.41304;1.18989
1967;Poland;pol;eu;0.995543;1.13105
1967;Portugal;prt;eu;0.909755;0.709832
1967;Romania;rou;eu;0.404673;0.616643
1967;Sweden;swe;eu;2.06452;1.67384
1967;Canada;can;na;0.75826;1.30401
1967;Costa Rica;cri;na;0.687943;0.554747
1967;Dominican Republic;dom;na;-0.73996;-0.763962
1967;Guatemala;gtm;na;0.178804;0.3452
1967;Honduras;hnd;na;-0.333715;-0.472676
1967;Jamaica;jam;na;-0.456648;-0.811957
1967;Mexico;mex;na;0.031729;0.360813
1967;Nicaragua;nic;na;0.02291;-0.329899
1967;Panama;pan;na;0.702627;0.639843
1967;El Salvador;slv;na;0.443734;0.433336
1967;Trinidad and Tobago;tto;na;-0.183314;-0.346799
1967;United States;usa;na;1.75501;1.6402
1967;Australia;aus;oc;0.183548;0.80173
1967;New Zealand;nzl;oc;0.23008;0.434364
1967;Argentina;arg;sa;-0.281353;0.248889
1967;Bolivia;bol;sa;-0.841633;-1.54796
1967;Brazil;bra;sa;-0.849452;0.099519
1967;Chile;chl;sa;-0.025874;0.1835
1967;Colombia;col;sa;-0.020913;0.223545
1967;Ecuador;ecu;sa;-0.782771;-1.24278
1967;Peru;per;sa;-0.593102;-0.753489
1967;Paraguay;pry;sa;-0.493552;-0.817882
1967;Uruguay;ury;sa;0.278787;0.464505
1967;Venezuela;ven;sa;-0.290236;-0.475082
1968;Angola;ago;af;-1.23318;-1.2251
1968;Cote d'Ivoire;civ;af;-1.00629;-0.949848
1968;Cameroon;cmr;af;-0.758248;-0.641174
1968;Republic of the Congo;cog;af;-0.857768;-1.01513
1968;Algeria;dza;af;-0.469397;-0.210311
1968;Egypt;egy;af;-0.152495;0.183211
1968;Ethiopia;eth;af;-0.932435;-0.846185
1968;Gabon;gab;af;-1.24293;-1.78923
1968;Ghana;gha;af;-0.773767;-1.30566
1968;Guinea;gin;af;-1.09043;-1.59665
1968;Kenya;ken;af;-0.731571;-0.427044
1968;Morocco;mar;af;-0.387013;-0.321881
1968;Madagascar;mdg;af;-1.0524;-1.08543
1968;Mozambique;moz;af;-0.869069;-0.683489
1968;Mauritania;mrt;af;-1.01189;-1.50202
1968;Nigeria;nga;af;-1.43376;-1.26361
1968;Sudan;sdn;af;-1.18166;-1.39137
1968;Senegal;sen;af;-0.377609;-0.976122
1968;Togo;tgo;af;-1.01094;-1.59937
1968;Tunisia;tun;af;-0.239807;-0.204233
1968;Tanzania;tza;af;-1.23856;-1.31107
1968;South Africa;zaf;af;-0.383453;0.393898
1968;Zambia;zmb;af;-0.792187;-0.89432
1968;Zimbabwe;zwe;af;0.922071;0.866357
1968;United Arab Emirates;are;as;1.02527;-0.167652
1968;China;chn;as;0.564777;0.615741
1968;Hong Kong;hkg;as;1.28635;1.18901
1968;Indonesia;idn;as;-1.10962;-0.819552
1968;India;ind;as;-0.069321;0.311969
1968;Iran;irn;as;-0.823465;-0.585222
1968;Israel;isr;as;0.627411;0.720425
1968;Jordan;jor;as;0.495193;0.16513
1968;Japan;jpn;as;1.92797;1.72572
1968;Cambodia;khm;as;-0.870425;-0.964178
1968;South Korea;kor;as;0.708068;0.531692
1968;Kuwait;kwt;as;-1.10223;-0.218437
1968;Laos;lao;as;-0.815614;-1.67041
1968;Lebanon;lbn;as;0.490028;0.643007
1968;Sri Lanka;lka;as;-1.11778;-1.00534
1968;Burma;mmr;as;-1.06872;-1.3326
1968;Malaysia;mys;as;-0.439566;-0.196894
1968;Oman;omn;as;-1.33728;-0.728921
1968;Pakistan;pak;as;-0.367673;-0.01359
1968;Philippines;phl;as;-0.479011;-0.652627
1968;Qatar;qat;as;-1.61823;-0.638053
1968;Saudi Arabia;sau;as;-0.943115;-1.10052
1968;Singapore;sgp;as;0.256625;0.454822
1968;Syria;syr;as;-0.255758;-0.383836
1968;Thailand;tha;as;-0.870876;-0.741674
1968;Turkey;tur;as;-0.864073;-0.504801
1968;Vietnam;vnm;as;-0.015737;0.249722
1968;Albania;alb;eu;0.056063;0.062879
1968;Austria;aut;eu;1.98078;1.67812
1968;Belgium;bel;eu;1.53657;1.53236
1968;Bulgaria;bgr;eu;0.486855;0.630039
1968;Switzerland;che;eu;2.1625;1.81415
1968;Germany;deu;eu;2.29043;1.88355
1968;Denmark;dnk;eu;1.30555;1.31643
1968;Spain;esp;eu;0.602475;0.832251
1968;Finland;fin;eu;1.38039;1.36292
1968;France;fra;eu;1.75071;1.57033
1968;United Kingdom;gbr;eu;2.0158;1.73184
1968;Greece;grc;eu;0.172181;0.344752
1968;Hungary;hun;eu;1.10248;1.01307
1968;Ireland;irl;eu;0.948167;0.966775
1968;Italy;ita;eu;1.81562;1.58818
1968;Netherlands;nld;eu;1.30488;1.44772
1968;Norway;nor;eu;1.38974;1.22185
1968;Poland;pol;eu;0.882682;1.08708
1968;Portugal;prt;eu;0.895702;0.751835
1968;Romania;rou;eu;0.464902;0.646769
1968;Sweden;swe;eu;2.05498;1.68182
1968;Canada;can;na;0.803205;1.36086
1968;Costa Rica;cri;na;0.659682;0.533373
1968;Dominican Republic;dom;na;-0.826126;-0.959701
1968;Guatemala;gtm;na;0.205069;0.371455
1968;Honduras;hnd;na;-0.197737;-0.353839
1968;Jamaica;jam;na;-0.343456;-0.797672
1968;Mexico;mex;na;0.036176;0.419062
1968;Nicaragua;nic;na;0.080425;-0.074035
1968;Panama;pan;na;0.900246;0.685796
1968;El Salvador;slv;na;0.579651;0.548503
